Date,Open,High,Low,Close,Volume
2022-01-11,-4.23,-0.5,-6.36,-1.7295215955075716,-0.9608912329031972
2022-01-12,-2.23,2.03,-6.23,-1.7250610246441314,0.3568565268480944
2022-01-13,-2.11,2.54,-4.72,-1.7207205177471891,1.2512068690308684
2022-01-14,-2.12,0.13,-4.17,-1.7163088009688356,-0.746124426890181
2022-01-17,-0.03,4.01,-2.98,-1.711848099308612,1.186393315073369
2022-01-18,-2.58,1.97,-5.51,-1.7075217179413027,1.434142166295527
2022-01-19,-1.65,-1.23,-4.73,-1.7030116062714626,-0.4841856259850203
2022-01-20,-0.0,2.67,-3.88,-1.698632775271125,-0.8224433454555207
2022-01-21,2.47,5.89,-1.81,-1.6942975180451485,0.0753586061096054
2022-01-24,0.92,1.23,-6.48,-1.689929104237543,0.7346159981388459
2022-01-25,-3.11,2.31,-4.81,-1.6852699034014704,1.092816349596269
2022-01-26,0.0,2.28,-5.4,-1.6809816474932788,-0.8907085087953722
2022-01-27,-2.69,0.79,-4.07,-1.6764778098416553,-0.6859130187758176
2022-01-28,-3.77,2.26,-7.4,-1.6720800365541837,0.7906087725636679
2022-01-31,-6.33,1.32,-8.62,-1.6676464094543002,-0.4362466067856864
2022-02-01,-1.58,-1.27,-2.26,-1.6631275869223698,-1.1215828252593645
2022-02-02,-4.51,3.26,-9.41,-1.658613150005834,-1.6124783818605442
2022-02-03,-0.91,2.89,-3.31,-1.6542090419416935,-0.6686549718640573
2022-02-04,-2.51,0.86,-3.02,-1.6498653999192836,-0.5332751816451383
2022-02-07,-2.01,2.57,-2.91,-1.645344951269377,1.1883108758413423
2022-02-08,2.19,3.26,-5.39,-1.6408307323755056,1.3378806157432643
2022-02-09,-1.06,3.61,-2.0,-1.6363912867467478,-0.8849558264914521
2022-02-10,1.61,1.96,-1.64,-1.6318869292659588,-1.659650376752689
2022-02-11,-1.97,-0.01,-5.53,-1.627461848087817,-1.1027907297332256
2022-02-14,-4.35,-1.35,-7.62,-1.6230708079742326,0.8903219324982826
2022-02-15,-2.32,1.72,-2.45,-1.618605561365065,1.2443036502661644
2022-02-16,0.99,3.43,-2.73,-1.614094320059256,-1.0176510316352083
2022-02-17,-4.74,-0.32,-6.56,-1.60960181187836,1.51813132793276
2022-02-18,2.31,3.09,-4.88,-1.6050914519478372,0.3948242300539669
2022-02-21,1.23,2.21,-4.17,-1.600694477215574,-1.1925325736743786
2022-02-22,-1.6,3.05,-5.97,-1.5960883258279592,0.3231074573317633
2022-02-23,-2.28,2.13,-4.8,-1.5916540069093523,0.248706099534397
